species,individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthOfColonyinMetersCorrected,depthOfColonyinMeters,locationID,clusterID_num
Aspa,Aspat-900,RRAP_ECT01_2022_Aspat_PAPE_900,-18.558513,146.502739,PAPE,2.8,NA,NA,PAPE_85,341
Aspa,Aspat-901,RRAP_ECT01_2022_Aspat_PAPE_901,-18.558564,146.502705,PAPE,3.1,NA,NA,PAPE_81,341
Aspa,Aspat-902,RRAP_ECT01_2022_Aspat_PAPE_902,-18.55828,146.502901,PAPE,2.5,NA,NA,PAPE_103,341
Aspa,Aspat-903,RRAP_ECT01_2022_Aspat_PAPE_903,-18.558277,146.502918,PAPE,2.6,NA,NA,PAPE_105,341
Aspa,Aspat-904,RRAP_ECT01_2022_Aspat_PAPE_904,-18.558428,146.502587,PAPE,1.9,NA,NA,PAPE_97,341
Aspa,Aspat-905,RRAP_ECT01_2022_Aspat_PAPE_905,-18.558519,146.502621,PAPE,2.4,NA,NA,PAPE_84,341
Aspa,Aspat-906,RRAP_ECT01_2022_Aspat_PAPE_906,-18.558531,146.502626,PAPE,2.7,NA,NA,PAPE_83,341
Aspa,Aspat-907,RRAP_ECT01_2022_Aspat_PAPE_907,-18.558621,146.502593,PAPE,3.3,NA,NA,PAPE_76,341
Aspa,Aspat-908,RRAP_ECT01_2022_Aspat_PAPE_908,-18.558617,146.502553,PAPE,2.9,NA,NA,PAPE_77,341
Aspa,Aspat-909,RRAP_ECT01_2022_Aspat_PAPE_909,-18.558606,146.502556,PAPE,2.7,NA,NA,PAPE_79,341
Aspa,Aspat-910,RRAP_ECT01_2022_Aspat_PAPE_910,-18.558614,146.502525,PAPE,2.5,NA,NA,PAPE_78,341
Aspa,Aspat-911,RRAP_ECT01_2022_Aspat_PAPE_911,-18.558624,146.502464,PAPE,1.5,NA,NA,PAPE_75,341
Aspa,Aspat-912,RRAP_ECT01_2022_Aspat_PAPE_912,-18.558131,146.502866,PAPE,1.8,NA,NA,PAPE_112,341
