species,individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthOfColonyinMetersCorrected,depthOfColonyinMeters
Aspa,Aspat-505,RRAP_ECT01_2022_Aspat_NDIR_505,-14.743058,145.51286,NDIR,-0.6,NA,NA
Aspa,Aspat-506,RRAP_ECT01_2022_Aspat_NDIR_506,-14.743062,145.512844,NDIR,-0.7,NA,NA
Aspa,Aspat-508,RRAP_ECT01_2022_Aspat_NDIR_508,-14.743032,145.51283,NDIR,-0.5,NA,NA
Aspa,Aspat-509,RRAP_ECT01_2022_Aspat_NDIR_509,-14.743068,145.512805,NDIR,-0.3,NA,NA
Aspa,Aspat-510,RRAP_ECT01_2022_Aspat_NDIR_510,-14.743065,145.512805,NDIR,-0.3,NA,NA
Aspa,Aspat-512,RRAP_ECT01_2022_Aspat_NDIR_512,-14.743105,145.512795,NDIR,-0.2,NA,NA
Aspa,Aspat-514,RRAP_ECT01_2022_Aspat_NDIR_514,-14.743095,145.512795,NDIR,-0.2,NA,NA
Aspa,Aspat-516,RRAP_ECT01_2022_Aspat_NDIR_516,-14.743098,145.512783,NDIR,-0.1,NA,NA
Aspa,Aspat-519,RRAP_ECT01_2022_Aspat_NDIR_519,-14.743071,145.512765,NDIR,0,NA,NA
Aspa,Aspat-522,RRAP_ECT01_2022_Aspat_NDIR_522,-14.743048,145.512718,NDIR,-0.1,NA,NA
Aspa,Aspat-523,RRAP_ECT01_2022_Aspat_NDIR_523,-14.743031,145.512716,NDIR,0,NA,NA
Aspa,Aspat-524,RRAP_ECT01_2022_Aspat_NDIR_524,-14.743017,145.512709,NDIR,0,NA,NA
Aspa,Aspat-528,RRAP_ECT01_2022_Aspat_NDIR_528,-14.742999,145.512669,NDIR,0,NA,NA
Aspa,Aspat-530,RRAP_ECT01_2022_Aspat_NDIR_530,-14.742995,145.51267000000001,NDIR,-0.1,NA,NA
Aspa,Aspat-532,RRAP_ECT01_2022_Aspat_NDIR_532,-14.74299,145.512689,NDIR,0,NA,NA
Aspa,Aspat-533,RRAP_ECT01_2022_Aspat_NDIR_533,-14.742997,145.512697,NDIR,0,NA,NA
Aspa,Aspat-534,RRAP_ECT01_2022_Aspat_NDIR_534,-14.742994,145.512701,NDIR,0,NA,NA
Aspa,Aspat-537,RRAP_ECT01_2022_Aspat_NDIR_537,-14.742987,145.512719,NDIR,-0.1,NA,NA
Aspa,Aspat-539,RRAP_ECT01_2022_Aspat_MART_539,-14.780084,145.358902,MART,1.2,NA,NA
Aspa,Aspat-541,RRAP_ECT01_2022_Aspat_MART_541,-14.780078,145.358833,MART,1.2,NA,NA
Aspa,Aspat-542,RRAP_ECT01_2022_Aspat_MART_542,-14.780076,145.35883,MART,1.1,NA,NA
Aspa,Aspat-543,RRAP_ECT01_2022_Aspat_MART_543,-14.780058,145.358815,MART,1,NA,NA
Aspa,Aspat-546,RRAP_ECT01_2022_Aspat_MART_546,-14.779999,145.358772,MART,-0.1,NA,NA
Aspa,Aspat-547,RRAP_ECT01_2022_Aspat_MART_547,-14.780018,145.358709,MART,-0.2,NA,NA
Aspa,Aspat-548,RRAP_ECT01_2022_Aspat_MART_548,-14.779949,145.358759,MART,0.1,NA,NA
Aspa,Aspat-549,RRAP_ECT01_2022_Aspat_MART_549,-14.779982,145.358715,MART,0.6,NA,NA
Aspa,Aspat-552,RRAP_ECT01_2022_Aspat_MART_552,-14.780026,145.358649,MART,0.2,NA,NA
Aspa,Aspat-556,RRAP_ECT01_2022_Aspat_MART_556,-14.779961,145.358646,MART,-0.1,NA,NA
Aspa,Aspat-557,RRAP_ECT01_2022_Aspat_MART_557,-14.779979,145.358622,MART,0,NA,NA
Aspa,Aspat-558,RRAP_ECT01_2022_Aspat_MART_558,-14.779981,145.358601,MART,0,NA,NA
Aspa,Aspat-559,RRAP_ECT01_2022_Aspat_MART_559,-14.780057,145.358544,MART,0.3,NA,NA
Aspa,Aspat-560,RRAP_ECT01_2022_Aspat_MART_560,-14.78007,145.358492,MART,0.7,NA,NA
Aspa,Aspat-563,RRAP_ECT01_2022_Aspat_MART_563,-14.779994,145.358974,MART,0.4,NA,NA
Aspa,Aspat-565,RRAP_ECT01_2022_Aspat_MART_565,-14.779959,145.359026,MART,0.9,NA,NA
Aspa,Aspat-566,RRAP_ECT01_2022_Aspat_MART_566,-14.779941,145.359033,MART,0.7,NA,NA
Aspa,Aspat-569,RRAP_ECT01_2022_Aspat_MART_569,-14.7799,145.359159,MART,1,NA,NA
Aspa,Aspat-570,RRAP_ECT01_2022_Aspat_MART_570,-14.779861,145.359173,MART,0.8,NA,NA
