individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthNote,coordNote,sequenceID,country,cluster,locality,yearCollected,verbatimDepth,associatedTaxa,identificationRemarks,scientificName,lineage
Aspat-996,RRAP_ECT01_2022_Aspat_OCCH_996,-18.670052,147.707458,OCCH,1.5,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-996_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-997,RRAP_ECT01_2022_Aspat_OCCH_997,-18.670071,147.707474,OCCH,1.3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-997_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-998,RRAP_ECT01_2022_Aspat_OCCH_998,-18.670077,147.707496,OCCH,0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-998_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-999,RRAP_ECT01_2022_Aspat_OCCH_999,-18.67007,147.707542,OCCH,0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-999_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-1536,RRAP_ECT01_2022_Aspat_OCDA_1536,-18.825859,147.626415,OCDA,0,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCDA-1536_L3,Australia,Offshore Central GBR,Davies ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1537,RRAP_ECT01_2022_Aspat_OCDA_1537,-18.825871,147.626419,OCDA,0,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCDA-1537_L3,Australia,Offshore Central GBR,Davies ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1538,RRAP_ECT01_2022_Aspat_OCDA_1538,-18.825882,147.626386,OCDA,0.1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCDA-1538_L4,Australia,Offshore Central GBR,Davies ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1539,RRAP_ECT01_2022_Aspat_OCDA_1539,-18.825906,147.626386,OCDA,0.2,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCDA-1539_L4,Australia,Offshore Central GBR,Davies ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1540,RRAP_ECT01_2022_Aspat_OCDA_1540,-18.82592,147.626429,OCDA,0.1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCDA-1540_L3,Australia,Offshore Central GBR,Davies ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1541,RRAP_ECT01_2022_Aspat_OCDA_1541,-18.825968,147.626451,OCDA,0.2,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCDA-1541_L4,Australia,Offshore Central GBR,Davies ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
