decimalLatitude,decimalLongitude,locationID_short,locationID
-14.474766,145.503105,HICK,HICK_94
-14.474749,145.503085,HICK,HICK_95
-14.474748,145.503075,HICK,HICK_96
-14.47473994,145.5031248,HICK,HICK_97
-14.474723,145.503195,HICK,HICK_98
-14.474719,145.503195,HICK,HICK_99
-14.474705,145.503209,HICK,HICK_100
-14.474696,145.503218,HICK,HICK_101
-14.47469308,145.5032102,HICK,HICK_102
-14.47467707,145.5032157,HICK,HICK_103
-14.474672,145.503206,HICK,HICK_104
-14.474653,145.503232,HICK,HICK_105
-14.474651,145.5032643,HICK,HICK_106
-14.47464027,145.5032676,HICK,HICK_107
-14.47463,145.503245,HICK,HICK_108
-14.47459,145.503324,HICK,HICK_109
-14.47458873,145.503382,HICK,HICK_110
-14.47457892,145.5033001,HICK,HICK_111
-14.47454514,145.5034852,HICK,HICK_112
-14.4745272,145.5033099,HICK,HICK_113
-14.474526,145.503397,HICK,HICK_114
-14.47449728,145.503495,HICK,HICK_115
-14.47448001,145.5033776,HICK,HICK_116
-14.47447498,145.5033838,HICK,HICK_117
-14.47441405,145.5035837,HICK,HICK_118
-14.47438924,145.5034631,HICK,HICK_119
-14.47428186,145.5036204,HICK,HICK_120
-14.47425638,145.5036686,HICK,HICK_121
-14.47423476,145.5037072,HICK,HICK_122
-14.47421925,145.5037841,HICK,HICK_123
-14.47416351,145.5038628,HICK,HICK_124
-14.47413677,145.5038358,HICK,HICK_125
-14.47411087,145.5038803,HICK,HICK_126
-14.47406813,145.5039478,HICK,HICK_127
-14.47404055,145.5039838,HICK,HICK_128
