decimalLatitude,decimalLongitude,locationID_short,locationID,clusterID_num,clusterID.x,clusterID.y
-14.65105872,145.638374,NONA,NONA_35,212,NA,NONA_5
-14.651058,145.638442,NONA,NONA_36,212,NA,NONA_5
-14.65104631,145.6384497,NONA,NONA_37,212,NA,NONA_5
-14.651045,145.638315,NONA,NONA_38,212,NA,NONA_5
-14.65103734,145.6384377,NONA,NONA_39,212,NA,NONA_5
-14.65103407,145.638288,NONA,NONA_40,212,NA,NONA_5
-14.651033,145.638499,NONA,NONA_41,212,NA,NONA_5
-14.65103206,145.6383295,NONA,NONA_42,212,NA,NONA_5
-14.65102888,145.6383849,NONA,NONA_43,212,NA,NONA_5
-14.651021,145.638478,NONA,NONA_44,212,NA,NONA_5
-14.65101689,145.6383799,NONA,NONA_45,212,NA,NONA_5
-14.65101538,145.6384382,NONA,NONA_46,212,NA,NONA_5
-14.651014,145.638331,NONA,NONA_47,212,NA,NONA_5
-14.65100516,145.6384946,NONA,NONA_48,212,NA,NONA_5
-14.65100474,145.6388443,NONA,NONA_49,214,NA,NONA_7
-14.65099879,145.6382994,NONA,NONA_50,212,NA,NONA_5
-14.650998,145.638434,NONA,NONA_51,212,NA,NONA_5
-14.650997,145.638415,NONA,NONA_52,212,NA,NONA_5
-14.65099636,145.6383884,NONA,NONA_53,212,NA,NONA_5
-14.650992,145.6387967,NONA,NONA_54,214,NA,NONA_7
-14.65099091,145.6384361,NONA,NONA_55,212,NA,NONA_5
-14.65098873,145.6384038,NONA,NONA_56,212,NA,NONA_5
-14.65098856,145.6384714,NONA,NONA_57,212,NA,NONA_5
-14.65098739,145.6382776,NONA,NONA_58,212,NA,NONA_5
-14.650986,145.638495,NONA,NONA_59,212,NA,NONA_5
-14.65098512,145.6384826,NONA,NONA_60,212,NA,NONA_5
-14.65098387,145.6383354,NONA,NONA_61,212,NA,NONA_5
-14.65097532,145.6384242,NONA,NONA_62,212,NA,NONA_5
-14.6509723,145.6384345,NONA,NONA_63,212,NA,NONA_5
-14.65096802,145.6387847,NONA,NONA_64,214,NA,NONA_7
-14.65096434,145.6384742,NONA,NONA_65,212,NA,NONA_5
-14.65096258,145.63834,NONA,NONA_66,212,NA,NONA_5
-14.65096,145.638414,NONA,NONA_67,212,NA,NONA_5
-14.65095478,145.638527,NONA,NONA_68,212,NA,NONA_5
-14.65095445,145.6384332,NONA,NONA_69,212,NA,NONA_5
-14.650954,145.638411,NONA,NONA_70,212,NA,NONA_5
-14.650954,145.638451,NONA,NONA_71,212,NA,NONA_5
-14.650953,145.63847,NONA,NONA_72,212,NA,NONA_5
-14.6509516,145.6382628,NONA,NONA_73,212,NA,NONA_5
-14.650949,145.638396,NONA,NONA_74,212,NA,NONA_5
-14.650948,145.638461,NONA,NONA_75,212,NA,NONA_5
-14.65094497,145.6385154,NONA,NONA_76,212,NA,NONA_5
-14.650944,145.638312,NONA,NONA_77,212,NA,NONA_5
-14.650938,145.638409,NONA,NONA_78,212,NA,NONA_5
-14.650937,145.638408,NONA,NONA_79,212,NA,NONA_5
