bam_name,materialSampleID,sequence_comments,sample_name,batch,lane,short_name,individualID,locationID_short,mosdepth,coverage,seq_depth,medianDepth,percentMapped,EcoLocationID,site_code,decimalLatitude,decimalLongitude,colony_depth,EcoPlotDepthinmeters,reef,site,depth_category,zone,plot,colony_depth_m,colony_size_cm,year,habitat,habitat_full,comments_coords,comments_depth,main cluster,parent_cluster,cluster,sub_cluster,lineage_mito,lineage_wgs,comments_haplotypes
RRAP-ECO03-2023-Shys-OCDA-1749_L2_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1749_L2,,RRAP-ECO03-2023-Shys-OCDA-1749,batch1,L2,OCDA-1749,1749,OCDA,5.84,86.86,8,3.74,0.9768,OCDA_BA2D_P3,OCDA_BA2D,-18.814315,147.6369,11.5,11.5,Davies,Back2,10m,Deep,Plot3,NA,NA,2023,Back,Back2,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1771_L2_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1771_L2,,RRAP-ECO03-2023-Shys-OCDA-1771,batch1,L2,OCDA-1771,1771,OCDA,5.97,87.29,7.06,3.32,0.9665,OCDA_BA2S,OCDA_BA2S,-18.81448,147.6372,3,NA,Davies,NA,5m,Shallow,NA,NA,NA,2023,Back,Back2,original coordinates,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1783_L1_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1783_L1,,RRAP-ECO03-2023-Shys-OCDA-1783,batch1,L1,OCDA-1783,1783,OCDA,6.8,88.79,11.59,5.96,0.9739,OCDA_BA2S,OCDA_BA2S,-18.81448,147.6372,3,NA,Davies,NA,5m,Shallow,NA,NA,NA,2023,Back,Back2,original coordinates,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1762_L3_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1762_L3,,RRAP-ECO03-2023-Shys-OCDA-1762,batch1,L3,OCDA-1762,1762,OCDA,5.87,88.24,10.68,4.42,0.9719,OCDA_BA2S_P1,OCDA_BA2S,-18.814495,147.637185,3.2,3.2,Davies,Back2,5m,Shallow,Plot1,NA,NA,2023,Back,Back2,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1760_L3_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1760_L3,,RRAP-ECO03-2023-Shys-OCDA-1760,batch1,L3,OCDA-1760,1760,OCDA,5.97,86.49,7.28,3.42,0.9722,OCDA_BA2S_P1,OCDA_BA2S,-18.814495,147.637185,3.2,3.2,Davies,Back2,5m,Shallow,Plot1,NA,NA,2023,Back,Back2,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1774_L2_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1774_L2,,RRAP-ECO03-2023-Shys-OCDA-1774,batch1,L2,OCDA-1774,1774,OCDA,6.07,86.42,7.11,3.69,0.9654,OCDA_BA2S_P3,OCDA_BA2S,-18.81441,147.63697,4,4,Davies,Back2,5m,Shallow,Plot3,NA,NA,2023,Back,Back2,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2022-Shys-OCDA-BLCH48B_L2_markedRG.bam,RRAP-ECO03-2022-Shys-OCDA-BLCH48B_L2,,RRAP-ECO03-2022-Shys-OCDA-BLCH48B,batch1,L2,OCDA-BLCH48B,BLCH48B,OCDA,6.83,87.51,8.77,4.14,0.9708,OCDA_BA2S_P3,OCDA_BA2S,-18.81441,147.63697,4,4,Davies,Back2,5m,Shallow,Plot3,NA,NA,2022,Back,Back2,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1770_L1_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1770_L1,,RRAP-ECO03-2023-Shys-OCDA-1770,batch1,L1,OCDA-1770,1770,OCDA,8.46,86.92,7.99,3.6,0.9746,OCDA_BA2S_P3,OCDA_BA2S,-18.81441,147.63697,4,4,Davies,Back2,5m,Shallow,Plot3,NA,NA,2023,Back,Back2,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1784_L1_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1784_L1,,RRAP-ECO03-2023-Shys-OCDA-1784,batch1,L1,OCDA-1784,1784,OCDA,9.29,92.33,11.32,6.5,0.9669,OCDA_FL1D_P1,OCDA_FL1D,-18.805915,147.668855,11.9,11.9,Davies,Flank1,10m,Deep,Plot1,NA,NA,2023,Flank,Flank1,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1802_L3_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1802_L3,,RRAP-ECO03-2023-Shys-OCDA-1802,batch1,L3,OCDA-1802,1802,OCDA,5.23,85.31,6.14,3.15,0.9706,OCDA_FL1D_P1,OCDA_FL1D,-18.805915,147.668855,11.9,11.9,Davies,Flank1,10m,Deep,Plot1,NA,NA,2023,Flank,Flank1,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
