decimalLatitude,decimalLongitude,locationID_short,locationID,clusterID_num,clusterID.x,clusterID.y,clusterID.x.x,clusterID.y.y,clusterID
-14.47411087,145.5038803,HICK,HICK_126,34,NA,NA,HICK_6,NA,HICK_1
-14.47406813,145.5039478,HICK,HICK_127,34,NA,NA,HICK_6,NA,HICK_1
-14.47404055,145.5039838,HICK,HICK_128,34,NA,NA,HICK_6,NA,HICK_1
-14.47404047,145.5039727,HICK,HICK_129,34,NA,NA,HICK_6,NA,HICK_1
-14.47397668,145.5040518,HICK,HICK_130,34,NA,NA,HICK_6,NA,HICK_1
-14.47396805,145.5040515,HICK,HICK_131,34,NA,NA,HICK_6,NA,HICK_1
-14.47390568,145.5041231,HICK,HICK_132,34,NA,NA,HICK_6,NA,HICK_1
-14.47381935,145.5042618,HICK,HICK_133,34,NA,NA,HICK_7,NA,HICK_1
-14.47375062,145.5043475,HICK,HICK_134,34,NA,NA,HICK_7,NA,HICK_1
-14.47368407,145.504462,HICK,HICK_135,34,NA,NA,HICK_8,NA,HICK_1
-14.47367895,145.5044997,HICK,HICK_136,34,NA,NA,HICK_8,NA,HICK_1
-14.47358801,145.5046293,HICK,HICK_137,34,HICK_9,HICK_9,HICK_9,NA,HICK_1
-14.42957648,145.4506239,HICK,HICK_138,35,NA,NA,HICK_10,NA,HICK_2
-14.4295427,145.4505575,HICK,HICK_139,35,NA,NA,HICK_10,NA,HICK_2
-14.42905328,145.4509223,HICK,HICK_140,36,HICK_11,HICK_11,HICK_11,NA,HICK_3
-14.42899436,145.4512097,HICK,HICK_141,36,NA,NA,HICK_12,NA,HICK_3
-14.4289765,145.4512073,HICK,HICK_142,36,NA,NA,HICK_12,NA,HICK_3
-14.42887978,145.451713,HICK,HICK_143,37,HICK_13,HICK_13,HICK_13,HICK_4,HICK_4
-18.42433671,146.9862862,KELS,KELS_1,38,KELS_1,KELS_1,KELS_1,NA,KELS_1
-18.4243026,146.9864343,KELS,KELS_2,38,NA,NA,KELS_2,NA,KELS_1
-18.42430042,146.9864359,KELS,KELS_3,38,NA,NA,KELS_2,NA,KELS_1
-18.42429598,146.9864076,KELS,KELS_4,38,NA,NA,KELS_2,NA,KELS_1
-18.42425373,146.9855098,KELS,KELS_5,38,NA,NA,KELS_3,NA,KELS_1
-18.42425164,146.986458,KELS,KELS_6,38,NA,NA,KELS_2,NA,KELS_1
-18.4242472,146.9853203,KELS,KELS_7,38,NA,NA,KELS_3,NA,KELS_1
-18.4242363,146.9865079,KELS,KELS_8,38,NA,NA,KELS_2,NA,KELS_1
-18.42422113,146.9854621,KELS,KELS_9,38,NA,NA,KELS_3,NA,KELS_1
-18.42418693,146.9854149,KELS,KELS_10,38,NA,NA,KELS_3,NA,KELS_1
-18.424172509999998,146.9861985,KELS,KELS_11,38,KELS_4,KELS_4,KELS_4,NA,KELS_1
-18.42415717,146.9853551,KELS,KELS_12,38,NA,NA,KELS_3,NA,KELS_1
-18.42411409,146.9855136,KELS,KELS_13,38,KELS_5,KELS_5,KELS_5,NA,KELS_1
-18.4241125,146.9865726,KELS,KELS_14,38,NA,NA,KELS_6,NA,KELS_1
-18.42410739,146.9866491,KELS,KELS_15,38,NA,NA,KELS_6,NA,KELS_1
-18.42410395,146.9843036,KELS,KELS_16,39,NA,NA,KELS_7,NA,KELS_2
-18.42409347,146.9865317,KELS,KELS_17,38,NA,NA,KELS_6,NA,KELS_1
-18.424069,146.9843132,KELS,KELS_18,39,NA,NA,KELS_7,NA,KELS_2
-18.42406514,146.9866729,KELS,KELS_19,38,NA,NA,KELS_6,NA,KELS_1
-18.42405181,146.9842974,KELS,KELS_20,39,NA,NA,KELS_7,NA,KELS_2
-18.42404737,146.9858108,KELS,KELS_21,38,NA,NA,KELS_8,NA,KELS_1
-18.42403094,146.9862533,KELS,KELS_22,38,KELS_9,KELS_9,KELS_9,NA,KELS_1
-18.4240151,146.9857936,KELS,KELS_23,38,NA,NA,KELS_8,NA,KELS_1
-18.42399172,146.9857507,KELS,KELS_24,38,NA,NA,KELS_8,NA,KELS_1
-18.42397864,146.9858184,KELS,KELS_25,38,NA,NA,KELS_8,NA,KELS_1
-18.42397571,146.9858069,KELS,KELS_26,38,NA,NA,KELS_8,NA,KELS_1
-18.42396984,146.9857839,KELS,KELS_27,38,NA,NA,KELS_8,NA,KELS_1
-18.42394461,146.9865131,KELS,KELS_28,38,KELS_10,KELS_10,KELS_10,NA,KELS_1
-18.42394377,146.9857738,KELS,KELS_29,38,NA,NA,KELS_8,NA,KELS_1
-18.4239234,146.9858237,KELS,KELS_30,38,NA,NA,KELS_8,NA,KELS_1
-18.42390236,146.9857243,KELS,KELS_31,38,NA,NA,KELS_8,NA,KELS_1
-18.42389708,146.9842961,KELS,KELS_32,39,KELS_11,KELS_11,KELS_11,NA,KELS_2
-18.42388686,146.9858186,KELS,KELS_33,38,NA,NA,KELS_8,NA,KELS_1
-18.4238597,146.9858135,KELS,KELS_34,38,NA,NA,KELS_8,NA,KELS_1
-18.42385199,146.9858262,KELS,KELS_35,38,NA,NA,KELS_8,NA,KELS_1
-18.42384168,146.9863348,KELS,KELS_36,38,NA,NA,KELS_12,NA,KELS_1
-18.42384093,146.9859711,KELS,KELS_37,38,NA,NA,KELS_13,NA,KELS_1
-18.42384093,146.9859713,KELS,KELS_38,38,NA,NA,KELS_13,NA,KELS_1
-18.42383992,146.9859716,KELS,KELS_39,38,NA,NA,KELS_13,NA,KELS_1
-18.42383841,146.9859733,KELS,KELS_40,38,NA,NA,KELS_13,NA,KELS_1
-18.42383774,146.9859729,KELS,KELS_41,38,NA,NA,KELS_13,NA,KELS_1
-18.42383363,146.9863349,KELS,KELS_42,38,NA,NA,KELS_12,NA,KELS_1
-18.42380757,146.9857477,KELS,KELS_43,38,NA,NA,KELS_8,NA,KELS_1
-18.42380413,146.9857382,KELS,KELS_44,38,NA,NA,KELS_8,NA,KELS_1
-18.42379843,146.9856895,KELS,KELS_45,38,NA,NA,KELS_8,NA,KELS_1
-18.42378787,146.9868715,KELS,KELS_46,38,KELS_14,KELS_14,KELS_14,NA,KELS_1
-18.42378602,146.9863713,KELS,KELS_47,38,NA,NA,KELS_12,NA,KELS_1
-18.423767,146.985506,KELS,KELS_48,38,NA,NA,KELS_8,NA,KELS_1
-18.42376666,146.9865154,KELS,KELS_49,38,KELS_15,KELS_15,KELS_15,NA,KELS_1
-18.423753,146.985555,KELS,KELS_50,38,NA,NA,KELS_8,NA,KELS_1
-18.42374688,146.9855037,KELS,KELS_51,38,NA,NA,KELS_8,NA,KELS_1
-18.423745,146.985502,KELS,KELS_52,38,NA,NA,KELS_8,NA,KELS_1
-18.42373397,146.9855405,KELS,KELS_53,38,NA,NA,KELS_8,NA,KELS_1
-18.42373087,146.9855322,KELS,KELS_54,38,NA,NA,KELS_8,NA,KELS_1
-18.42373012,146.9854927,KELS,KELS_55,38,NA,NA,KELS_8,NA,KELS_1
-18.42372567,146.9854888,KELS,KELS_56,38,NA,NA,KELS_8,NA,KELS_1
-18.42372215,146.9858316,KELS,KELS_57,38,NA,NA,KELS_8,NA,KELS_1
-18.42371981,146.9864073,KELS,KELS_58,38,NA,NA,KELS_12,NA,KELS_1
-18.423717,146.985672,KELS,KELS_59,38,NA,NA,KELS_8,NA,KELS_1
-18.423717,146.98572,KELS,KELS_60,38,NA,NA,KELS_8,NA,KELS_1
-18.423708,146.985631,KELS,KELS_61,38,NA,NA,KELS_8,NA,KELS_1
-18.42370405,146.9856097,KELS,KELS_62,38,NA,NA,KELS_8,NA,KELS_1
-18.423696,146.98571,KELS,KELS_63,38,NA,NA,KELS_8,NA,KELS_1
-18.423692,146.985758,KELS,KELS_64,38,NA,NA,KELS_8,NA,KELS_1
-18.423691,146.985726,KELS,KELS_65,38,NA,NA,KELS_8,NA,KELS_1
-18.42369097,146.9859292,KELS,KELS_66,38,NA,NA,KELS_8,NA,KELS_1
-18.42369047,146.985667,KELS,KELS_67,38,NA,NA,KELS_8,NA,KELS_1
-18.42369039,146.9859029,KELS,KELS_68,38,NA,NA,KELS_8,NA,KELS_1
-18.42369,146.985788,KELS,KELS_69,38,NA,NA,KELS_8,NA,KELS_1
-18.42368678,146.9858987,KELS,KELS_70,38,NA,NA,KELS_8,NA,KELS_1
-18.423685,146.985695,KELS,KELS_71,38,NA,NA,KELS_8,NA,KELS_1
-18.423684,146.98570900000001,KELS,KELS_72,38,NA,NA,KELS_8,NA,KELS_1
-18.423683,146.985753,KELS,KELS_73,38,NA,NA,KELS_8,NA,KELS_1
-18.42368041,146.9854262,KELS,KELS_74,38,NA,NA,KELS_8,NA,KELS_1
-18.423674,146.985703,KELS,KELS_75,38,NA,NA,KELS_8,NA,KELS_1
-18.423668,146.985723,KELS,KELS_76,38,NA,NA,KELS_8,NA,KELS_1
-18.42366407,146.9863732,KELS,KELS_77,38,NA,NA,KELS_12,NA,KELS_1
-18.423662,146.985764,KELS,KELS_78,38,NA,NA,KELS_8,NA,KELS_1
-18.423662,146.985794,KELS,KELS_79,38,NA,NA,KELS_8,NA,KELS_1
-18.423655,146.985745,KELS,KELS_80,38,NA,NA,KELS_8,NA,KELS_1
-18.42365401,146.9867931,KELS,KELS_81,38,KELS_16,KELS_16,KELS_16,NA,KELS_1
-18.423654,146.985455,KELS,KELS_82,38,NA,NA,KELS_8,NA,KELS_1
