vcf_name,sequence_comments,batch,lane,materialSampleID_full,materialSampleID,individualID,locationID,EcoLocationID,site_code,decimalLatitude,decimalLongitude,coordNote,depthinmeters,depthNote,EcoPlotDepthinmeters,colonyDepthinmeters,reefID,EcoReefHabitat,depth_category,EcoZoneID,EcoPlotID,yearCollected,habitat,habitat_full,lineage_mito,lineage_wgs
RRAP-ECO03-2023-Shys-CBLM-1243_L3,part of plate4 renamed,batch1,L3,RRAP-ECO03-2023-Shys-CBLM-1243,CBLM-1243,1243,CBLM,CBLM_FL1S_P1,CBLM_FL1S,-23.884943,152.4136075,plot coordinates from AG,4.2,NA,4.2,NA,Lady Musgrave,Flank1,5m,Shallow,Plot1,2022,Flank,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBLM-2593_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBLM-2593,CBLM-2593,2593,CBLM,CBLM_FL1S_P1,CBLM_FL1S,-23.884943,152.4136075,plot coordinates from AG,4.2,NA,4.2,NA,Lady Musgrave,Flank1,5m,Shallow,Plot1,2023,Flank,,Hap11,SH2
RRAP-ECO03-2022-Shys-CBLM-1240_L3,,batch1,L3,RRAP-ECO03-2022-Shys-CBLM-1240,CBLM-1240,1240,CBLM,CBLM_FL1S_P1,CBLM_FL1S,-23.884943,152.4136075,plot coordinates from AG,4.2,NA,4.2,NA,Lady Musgrave,Flank1,5m,Shallow,Plot1,2022,Flank,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBLM-2597_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBLM-2597,CBLM-2597,2597,CBLM,CBLM_FL1S_P2,CBLM_FL1S,-23.88506,152.4135875,plot coordinates from AG,4,NA,4,NA,Lady Musgrave,Flank1,5m,Shallow,Plot2,2023,Flank,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBLM-2596_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBLM-2596,CBLM-2596,2596,CBLM,CBLM_FL1S_P2,CBLM_FL1S,-23.88506,152.4135875,plot coordinates from AG,4,NA,4,NA,Lady Musgrave,Flank1,5m,Shallow,Plot2,2023,Flank,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBLM-2603_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBLM-2603,CBLM-2603,2603,CBLM,CBLM_FL1S_P3,CBLM_FL1S,-23.8852145,152.413594,plot coordinates from AG,5.1,NA,5.1,NA,Lady Musgrave,Flank1,5m,Shallow,Plot3,2023,Flank,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBLM-1252_L3,part of plate4 renamed,batch1,L3,RRAP-ECO03-2023-Shys-CBLM-1252,CBLM-1252,1252,CBLM,CBLM_FL1S_P4,CBLM_FL1S,-23.8853215,152.413674,plot coordinates from AG,4.9,NA,4.9,NA,Lady Musgrave,Flank1,5m,Shallow,Plot4,2022,Flank,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBLM-2606_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBLM-2606,CBLM-2606,2606,CBLM,CBLM_FL1S_P4,CBLM_FL1S,-23.8853215,152.413674,plot coordinates from AG,4.9,NA,4.9,NA,Lady Musgrave,Flank1,5m,Shallow,Plot4,2023,Flank,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBLM-1251_L3,,batch1,L3,RRAP-ECO03-2023-Shys-CBLM-1251,CBLM-1251,1251,CBLM,CBLM_FL1S_P4,CBLM_FL1S,-23.8853215,152.413674,plot coordinates from AG,4.9,NA,4.9,NA,Lady Musgrave,Flank1,5m,Shallow,Plot4,2022,Flank,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBLM-2649_L2,,batch1,L2,RRAP-ECO03-2023-Shys-CBLM-2649,CBLM-2649,2649,CBLM,CBLM_BA1S_P3,CBLM_BA1S,-23.9003675,152.3934045,plot coordinates from AG,3.4,NA,3.4,NA,Lady Musgrave,Back1,5m,Shallow,Plot3,2023,Back,,Hap11,SH2
RRAP-ECO03-2022-Shys-CBLM-1208_L1,,batch1,L1,RRAP-ECO03-2022-Shys-CBLM-1208,CBLM-1208,1208,CBLM,CBLM_BA2S_P3,CBLM_BA2S,-23.8944175,152.403762,plot coordinates from AG,5.6,NA,5.6,NA,Lady Musgrave,Back2,5m,Shallow,Plot3,2022,Back,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBLM-2619_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBLM-2619,CBLM-2619,2619,CBLM,CBLM_BA2S_P4,CBLM_BA2S,-23.8945,152.403644,plot coordinates from AG,4.4,NA,4.4,NA,Lady Musgrave,Back2,5m,Shallow,Plot4,2023,Back,,HostD3,SH3
RRAP-ECO03-2022-Shys-OCDA-BLCH108B_L2,,batch1,L2,RRAP-ECO03-2022-Shys-OCDA-BLCH108B,OCDA-BLCH108B,BLCH108B,OCDA,OCDA_FL1S_P4,OCDA_FL1S,-18.805575,147.66835,plot coordinates from AG,5.4,NA,5.4,NA,Davies,Flank1,5m,Shallow,Plot4,2022,Flank,,HostB,HostB
RRAP-ECO03-2022-Shys-OCDA-BLCH71B_L2,,batch1,L2,RRAP-ECO03-2022-Shys-OCDA-BLCH71B,OCDA-BLCH71B,BLCH71B,OCDA,OCDA_FR2S_P4,OCDA_FR2S,-18.83150833,147.6528006,plot coordinates from AG,5.7,NA,5.7,NA,Davies,Front2,5m,Shallow,Plot4,2022,Front,,Hap13,NA
RRAP-ECO03-2022-Shys-OCDA-BLCH30B_L2,,batch1,L2,RRAP-ECO03-2022-Shys-OCDA-BLCH30B,OCDA-BLCH30B,BLCH30B,OCDA,OCDA_FL1D_P1,OCDA_FL1D,-18.805915,147.668855,plot coordinates from AG,11.9,NA,11.9,NA,Davies,Flank1,10m,Deep,Plot1,2022,Flank,,Hap13,NA
